ファイル名,Rawテキスト
R_Fallout 76_20230531054857.png,情報 推奨レベル リセットまでの時間 ロケーション | 敵変異 氷の手 サヴェージ・ストライク(デフォルト) レベル50以上 21H ウエストテック研究センター プラッドイーグル 攻撃時に標的を遅くする 致命的なアーマー貫通攻撃
R_Fallout 76_20230615043733.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 22H 燃え盛る鉱山 死 エイリアン 記時に爆発 Perceptionが大幅に増加する
R_Fallout 76_20250129082518.png,情報 推奨レベル リセットまでの時間 |ョレルョンーレス 敵派閥 敵変異 グループ再生 鋭い視線(デフォルト) レベル50以上 18H 燃え盛る鉱山 カルト教信者 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_05_30 7_07_08.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 スコーチ 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_06_01 6_42_21.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H ガレイダーアリーナ 4 ロボット 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_06_02 8_07_17.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アンステイブル(ダブル) サヴェージ・ストライク(デフォルト) レベル50以上 18H Vault 94 共産党員 素早く、 死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76 2023_06_03 7_11_00.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 19H ワトガ・ハイスクール カルト教信者 クローク能力があり、 素早い Perceptionが大幅に増加する
R_Fallout76 2023_06_04 6_36_25.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション 燃え盛る鉱山 敵派閥 プラッドイーグル BER 冷酷無比(ダブプル) 周囲を回復し、近接攻撃でしか倒されない サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_06_07 3_58_21.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 23H Vault 94 共産党員 ン 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_06_09 7_40_51.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 =とリリッン 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_06_11 7_43_28.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H アンキャニー洞窟 プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_06_13 7_09_22.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 プラッドイーグル 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_06_17 7_18_46.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 19H WO-X モールマイナー 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout76 2023_06_19 7_05_45.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 19H WO-X ロボット 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_06_21 7_17_57.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H チャールストン議事党 モールマイナー 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_06_23 6_01_33.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション パレー・ガレリア 敵派閥 モールマイナー 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_06_25 7_33_15.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション チャールストン議事党 敵派閥 ロボット 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_06_27 7_37_25.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 デンジャークラウド 鋭い視線(デフォルト) レベル50以上 19H ワトガ・レイダーアリーナ ロボット 付近のプレイヤーのHPとAPを減少させる Perceptionが大幅に増加する
R_Fallout76 2023_06_29 6_45_54.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 20H ワトガ・ハイスクール ロボット 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_07_01 4_40_48.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 蒸気性(ダブル) 鋭い視線(デフォルト) レベル50以上 22H アンキャニー洞窟 カルト教信者 クローク能力があり、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_03 7_08_34.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 19H WO-X モールマイナー OS 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_04 7_52_52.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ワトガ・レイダーアリーナ 敵派閥 スーパーミュータント 敵変異 蒸気性(ダブル) クローク能力があり、死亡時に爆発 サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_07_07 5_57_26.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 21H モーガンタウン・ハイスクール =とリリッン 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_07_11 10_38_36.png,情報 推奨レベル レベル50以上 リセットまでの時間 16H =レルニンレス ウエストテック研究センター 敵派閥 エイリアン 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_13 6_21_27.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション Vault 94 敵派閥 スーパーミュータント 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_15 8_44_24.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 18H Vault 96 共産党員 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout76 2023_07_17 6_52_21.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 スウィフト・ストーカー(ダブル) 鋭い視線(デフォルト) レベル50以上 20H ワトガ・レイダーアリーナ スーパーミュータント クローク能力があり、 素早い Perceptionが大幅に増加する
R_Fallout76 2023_07_21 9_31_55.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション ガラハン鉱業本社 敵派閥 モールマイナー 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_25 6_51_17.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 不安定 鋭い視線(デフォルト) レベル50以上 20H アンキャニー洞窟 =とリリッン 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_26 7_03_04.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ガラハン鉱業本社 敵派閥 スコーチ 敵変異 トキシックプラッド 死亡時にポイズンハザードを展開する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_07_27 6_29_49.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション アークトス・ファーマ生態群研究所 敵派閥 モールマイナー 敵変異 アクティブ迷彩 攻撃していない間は身を隠す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_07_29 6_47_34.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 20H アンキャニー洞窟 共産党員 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_07_31 7_02_39.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H =レルニンレス ウエストテック研究センター 敵派閥 エイリアン 敵変異 毒雲(ダブル) クローク能力があり、 倒されると毒性ハザードを残す 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_02 7_18_39.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H 燃え盛る鉱山 =とリリッン 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_08_04 6_57_31.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション Vault 94 敵派閥 スーパーミュータント 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_06 6_50_44.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ワトガ・ハイスクール 敵派閥 ロボット 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_08 7_07_56.png,、 情報 | 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 19H 燃え盛る鉱山 プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_08_10 7_45_15.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 19H チャールストン議事党 スコーチ 攻撃時に標的を遅くする E Perceptionが大幅に増加する
R_Fallout76 2023_08_12 7_13_50.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション ワトガ・ハイスクール 敵派閥 スーパーミュータント 敵変異 冷酷無比(ダブル) 周囲を回復し、近接攻撃でしか倒されない 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_08_18 6_42_18.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 20H 燃え盛る鉱山 カルト教信者 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2023_08_20 7_11_29.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 19H ガラハン鉱業本社 スーパーミュータント 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_08_21 7_33_04.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 MER 弾力性 サヴェージ・ストライク(デフォルト) レベル50以上 19H ニン プラッドイーグル 近接攻撃でのみ倒せる 致命的なアーマー貫通攻撃
R_Fallout76 2023_08_24 8_08_29.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 18H モーガンタウン・ハイスクール カルト教信者 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_08_25 7_08_47.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 MER 蒸気性(ダプル) サヴェージ・ストライク(デフォルト) レベル50以上 19H ガラハン鉱業本社 =シリリン クローク能力があり、死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76 2023_08_26 7_11_10.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER アンステイブル(ダブル) 鋭い視線(デフォルト) レベル50以上 19H ワトガ・ハイスクール プラッドイーグル wy) 素早く、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_08_30 7_06_40.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション アンキャニー洞窟 敵派閥 エイリアン 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_09_01 7_21_48.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 1 ジジシアルル 鋭い視線(デフォルト) レベル50以上 19H ニン カルト教信者 死詞時にポイズンハザードを展開する Perceptionが大幅に増加する
R_Fallout76 2023_09_03 6_58_52.png,| 情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H Vault 96 カルト教信者 Vv 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_09_05 6_52_05.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 FRE 鋭い視線(デフォルト) レベル50以上 20H Vault 94 カルト教信者 マ の| 死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_09_07 10_27_54.png,‘mae \ 情報 推奨レベル レベル50以上 リセットまでの時間 16H =レルニンレス ウエストテック研究センター 敵派閥 スーパーミュータント 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_09_09 9_48_45.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 蒸気性(ダブプル) 鋭い視線(デフォルト) レベル50以上 17H アークトス・ファーマ生態群研究所 プラッドイーグル クローク能力があり、死亡時に爆発 Perceptionが大幅に増加する
R_Fallout76 2023_09_11 6_55_46.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 プリスタリングコールド(ダブル) 鋭い視線(デフォルト) レベル50以上 20H モーガンタウン・ハイスクール プラッドイーグル 素早く、氷結攻撃を繰り出す Perceptionが大幅に増加する
R_Fallout76 2023_09_13 7_26_41.png,プン 情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 19H ワトガ・レイダーアリーナ スーパーミュータント 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_09_15 6_54_34.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER グループ再生 鋭い視線(デフォルト) レベル50以上 20H アークトス・ファーマ生態群研究所 プラッドイーグル 近距離でグループ化すると回復する Perceptionが大幅に増加する
R_Fallout76 2023_09_17 6_30_17.png,情報 推奨レベル リセットまでの時間 |ョレレョンーレス 敵派閥 敵変異 弾力性 鋭い視線(デフォルト) レベル50以上 20H WO-X =シリリッンク 近接攻撃でのみ倒せる Perceptionが大幅に増加する
R_Fallout76 2023_09_18 8_05_36.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション Vault 94 敵派閥 カルト教信者 敵変異 グループ再生 近距離でグループ化すると回復する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_09_19 8_26_53.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション アークトス・ファーマ生態群研究所 敵派閥 スーパーミュータント 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_09_20 9_10_26.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 敵変異 不安定 サヴェージ・ストライク(デフォルト) レベル50以上 17H Vault 94 プラッドイーグル 死亡時に爆発 致命的なアーマー貫通攻撃
R_Fallout76 2023_09_21 9_02_38.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション ガラハン鉱業本社 敵派閥 モールマイナー AC OF 敵変異 氷の手 攻撃時に標的を遅くする 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_09_23 10_35_43.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 16H ワトガ・ハイスクール プラッドイーグル 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_09_25 7_11_28.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER チリングメンド(ダブル) 鋭い視線(デフォルト) レベル50以上 19H Vault 96 ロボット 周囲を回復し、氷結攻撃 Perceptionが大幅に増加する
R_Fallout76 2023_09_27 6_26_07.png,情報 推奨レベル リセットまでの時間 =レルニンレス 敵派閥 敵変異 アクティブ迷彩 鋭い視線(デフォルト) レベル50以上 20H Vault 94 ロボット 攻撃していない間は身を隠す Perceptionが大幅に増加する
R_Fallout76 2023_09_29 8_59_14.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H ロケーション ワトガ・ハイスクール 敵派閥 エイリアン 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_09_30 8_08_01.png,情報 推奨レベル レベル50以上 リセットまでの時間 18H =レルニンレス ウエストテック研究センター 敵派閥 スーパーミュータント 敵変異 リフレクトスキン 定期的に直接的なダメージを相手に反射する サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
R_Fallout76 2023_10_01 6_25_16.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 20H アンキャニー洞窟 スーパーミュータント 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2023_10_03 6_46_17.png,情報 推奨レベル レベル50以上 リセットまでの時間 20H ロケーション ワトガ・ハイスクール 敵派閥 エイリアン 敵変異 スウィフトフット 移動速度、リロード、近接攻撃のスビピードが上昇する 鋭い視線(デフォルト) Perceptionが大幅に増加する
R_Fallout76 2023_10_04 9_28_27.png,情報 推奨レベル レベル50以上 リセットまでの時間 17H ロケーション WO-X 敵派閥 スーパーミュータント 敵変異 デンジャークラウド 付近のプレイヤーのHPとAPを減少させる サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃 時SNン
R_Fallout76 2023_10_05 8_04_45.png,情報 推奨レベル リセットまでの時間 ロケーション 敵派閥 BER 氷の手 鋭い視線(デフォルト) レベル50以上 18H アンキャニー洞窟 カルト教信者 攻撃時に標的を遅くする Perceptionが大幅に増加する
R_Fallout76 2023_10_08 7_33_23.png,情報 推奨レベル レベル50以上 リセットまでの時間 19H ロケーション パローズ 敵派閥 共産党員 敵変異 蒸気性(ダブプル) クローク能力があり、死亡時に爆発 サヴェージ・ストライク(デフォルト) 致命的なアーマー貫通攻撃
